"tweet_url", "response"
"https://twitter.com/ckreality13/status/987380605385101312", "y"
"https://twitter.com/ckreality13/status/987380605385101312", "y"
"https://twitter.com/ckreality13/status/987380605385101312", "y"
"https://twitter.com/FredGrayson/status/989319270868889600", "n"
"https://twitter.com/FredGrayson/status/989319270868889600", "n"
"https://twitter.com/FredGrayson/status/989319270868889600", "y"
"https://twitter.com/boilakwatsero21/status/989217479183433728", "y"
"https://twitter.com/boilakwatsero21/status/989217479183433728", "s"
"https://twitter.com/boilakwatsero21/status/989217479183433728", "n"
"https://twitter.com/fabiancalinyc/status/988026076784988160", "n"
"https://twitter.com/fabiancalinyc/status/988026076784988160", "y"
"https://twitter.com/fabiancalinyc/status/988026076784988160", "y"
"https://twitter.com/callme_jc/status/990006445553922048", "y"
"https://twitter.com/callme_jc/status/990006445553922048", "y"
"https://twitter.com/callme_jc/status/990006445553922048", "y"
"https://twitter.com/ZaynMyZunshine/status/987713518790209536", "y"
"https://twitter.com/ZaynMyZunshine/status/987713518790209536", "y"
"https://twitter.com/ZaynMyZunshine/status/987713518790209536", "n"
"https://twitter.com/HaydenJames277/status/987169458186694656", "n"
"https://twitter.com/HaydenJames277/status/987169458186694656", "y"
"https://twitter.com/HaydenJames277/status/987169458186694656", "y"
"https://twitter.com/JimmySextonLLM/status/988971252441341952", "n"
"https://twitter.com/JimmySextonLLM/status/988971252441341952", "n"
"https://twitter.com/JimmySextonLLM/status/988971252441341952", "s"
"https://twitter.com/hookorslicegolf/status/989852649448181760", "y"
"https://twitter.com/hookorslicegolf/status/989852649448181760", "y"
"https://twitter.com/hookorslicegolf/status/989852649448181760", "y"
"https://twitter.com/RedWhiteAndBuzz/status/988126491157434368", "y"
"https://twitter.com/RedWhiteAndBuzz/status/988126491157434368", "y"
"https://twitter.com/RedWhiteAndBuzz/status/988126491157434368", "y"
"https://twitter.com/mattlingerfelt/status/988953583554060288", "y"
"https://twitter.com/mattlingerfelt/status/988953583554060288", "n"
"https://twitter.com/mattlingerfelt/status/988953583554060288", "y"
"https://twitter.com/ZaineFrame/status/986738425037578240", "n"
"https://twitter.com/ZaineFrame/status/986738425037578240", "n"
"https://twitter.com/ZaineFrame/status/986738425037578240", "y"
"https://twitter.com/readernoir/status/988919346142564352", "n"
"https://twitter.com/readernoir/status/988919346142564352", "n"
"https://twitter.com/readernoir/status/988919346142564352", "y"
"https://twitter.com/MBomya/status/987124677872115712", "y"
"https://twitter.com/MBomya/status/987124677872115712", "n"
"https://twitter.com/MBomya/status/987124677872115712", "n"
"https://twitter.com/CraicTowns/status/989950749550501888", "y"
"https://twitter.com/CraicTowns/status/989950749550501888", "y"
"https://twitter.com/CraicTowns/status/989950749550501888", "y"
"https://twitter.com/dailyoneliner1/status/989323458482987008", "n"
"https://twitter.com/dailyoneliner1/status/989323458482987008", "y"
"https://twitter.com/dailyoneliner1/status/989323458482987008", "n"
"https://twitter.com/MissAndret/status/989539264546398208", "y"
"https://twitter.com/MissAndret/status/989539264546398208", "n"
"https://twitter.com/MissAndret/status/989539264546398208", "y"
"https://twitter.com/OS_Rixen/status/986534861186969600", "y"
"https://twitter.com/OS_Rixen/status/986534861186969600", "y"
"https://twitter.com/OS_Rixen/status/986534861186969600", "y"
"https://twitter.com/BeerBellyThug/status/987420921307848704", "y"
"https://twitter.com/BeerBellyThug/status/987420921307848704", "y"
"https://twitter.com/BeerBellyThug/status/987420921307848704", "y"
"https://twitter.com/ChoicesMatter_/status/988832088408272896", "n"
"https://twitter.com/ChoicesMatter_/status/988832088408272896", "n"
"https://twitter.com/ChoicesMatter_/status/988832088408272896", "n"
"https://twitter.com/Amandainthstars/status/989963576394829824", "y"
"https://twitter.com/Amandainthstars/status/989963576394829824", "n"
"https://twitter.com/Amandainthstars/status/989963576394829824", "y"
"https://twitter.com/sarabowden33/status/987709383793692672", "s"
"https://twitter.com/sarabowden33/status/987709383793692672", "y"
"https://twitter.com/sarabowden33/status/987709383793692672", "y"
"https://twitter.com/callme_jc/status/990005521737543680", "n"
"https://twitter.com/callme_jc/status/990005521737543680", "n"
"https://twitter.com/callme_jc/status/990005521737543680", "y"
"https://twitter.com/callme_jc/status/990006064878964736", "y"
"https://twitter.com/callme_jc/status/990006064878964736", "y"
