tweet	1		"ciroc so perfect "
tweet	1		"everybody drunk tonight "
tweet	1		"6 bottles of wine 5 appetizers 4 hours of distill 3 bathroom breaks 2 bug bites 1 psych rotation 23nurse"
tweet	1		"ibuprofen water and a taco for after beer foods always idontfuckaround goodbye"
tweet	1		"i love beer"
tweet	1		"mention turn it into a drinking game and im down"
tweet	1		"wine would make everything all better"
tweet	1		"bree is drunk i am drunk"
tweet	1		"also hidden in donuts and beer mt mention death by sugar url media"
tweet	1		"so lets just stay in the moment smoke some weed drink some wine"
tweet	1		"i think my hangover just woke up"
tweet	1		"mention i sent you a birthday snap ill drink a beer for you tonight"
tweet	1		"“mention not feeling 21 yet oh well lol itsmybday” get to the bar lol"
tweet	1		"drunk snap chatting just got a whole lot weirder"
tweet	1		"“mention drinking a beer in the shower is the best damn thing ever ever ever ever drunk  ec ga” mention"
tweet	1		"4 more days until baja blast comes out in bottles am i the only one psyched about this"
tweet	1		"might get faded and walk to pub tonight"
tweet	1		"ciroc boy"
tweet	1		"beer clock bellsbrewery twohearted  red dove tavern url"
tweet	1		"after all my finals are done i dont care if i have to do it alone im getting wasted "
tweet	1		"mention omg i lovee tequila youre right i gotta do those"
tweet	1		"drinking a shock top raspberry wheat by mention  rbi sports pub — url photo"
tweet	1		"bestbusker brews  victoire belgian beer bar url"
tweet	1		"drinking a highland lager by mention at rohrbachs — url"
tweet	1		"a little rampr  drinking a hop sun by mention  crowne plaza bar amp lounge — url"
tweet	1		"rochester day 10 seneca park zoo red robin shopping visit to eduardos work place beer and of course babynep"
tweet	1		"spend so much money at the bar last night "
tweet	1		"seriously all i want is a movie and a cheap bottle of wine and i will rock ur world when we get home"
tweet	1		"my idea of a personal bottle are the regular sized bottles "
tweet	1		"i could really use a vodka and crans hold the crans"
tweet	1		"rum flights bestbusker  havana cabana w mention url"
tweet	1		"really trying to fight this post workout craving for a beer and a slice from acme"
tweet	1		"ive been battling this back and fourth decision to go or not to go to the liquor store"
tweet	1		"cheesecake and beer ❤️"
tweet	1		"mention thank god i will be home tomorrow with a bottle of malibu  maybe kinks will join"
tweet	1		"goldfish and beer i have hit bottom and i like it"
tweet	1		"wish i was drunk"
tweet	1		"drinking a scotch ale by mention  otb  rubinos sports bar — url"
tweet	1		"just found a bottle of wine in my wine purse that i got for christmas merrychristmastome "
tweet	1		"game of thrones and whiskey it is mother fucker"
tweet	1		"mention yessir positive attitude and alcohol will get us there"
tweet	1		"couldve paid a quarter for a beer but instead bought a 375 budweiser  merica"
tweet	1		"bruh tequila is no joke"
tweet	1		"why yes i would like some fireball whiskey myfavorite "
tweet	1		"with the amount of money ive spent on alcohol in my college career i probably couldve bought a brand new car lol realtalk"
