username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
caseysbell;2018-03-30 23:47;0;0;"Holiday cards and gifts: #Purim #StPatricksDay #Pesach and #Resurrection http://www. storecee.com";;;#Purim #StPatricksDay #Pesach #Resurrection;"979867657615958018";https://twitter.com/caseysbell/status/979867657615958018
FeltasticFelts;2018-03-30 23:12;12;3;"Happy Shamrock Clover Felties https:// goo.gl/jL5jnN #felties #embroidered #handmade #craftsupplies #crafting #shopsmall #smallbiz #kids #bows #planner #embroidery #felt #shamrock #StPatricksDay #clover #StPats #craftychaching";;;#felties #embroidered #handmade #craftsupplies #crafting #shopsmall #smallbiz #kids #bows #planner #embroidery #felt #shamrock #StPatricksDay #clover #StPats #craftychaching;"979858864861597697";https://twitter.com/FeltasticFelts/status/979858864861597697
WakeAmericaNow;2018-03-30 23:11;0;0;"I'm listening to Today In History - March 17th, 461: Saint Patrick dies on Today In History with @TuneIn . #NowPlaying https:// buff.ly/2tVRWsh #StPatricksDay #SaintPatrick pic.twitter.com/VS2FEHhtQL";;@TuneIn;#NowPlaying #StPatricksDay #SaintPatrick;"979858572006821888";https://twitter.com/WakeAmericaNow/status/979858572006821888
pastsplendors;2018-03-30 22:20;0;0;"Four Leaf #Clover #Pin Faux Pearl Clear Rhinestones Signed JJ Gold Tone Smaller Vintage Pin https:// seethis.co/YdBQnD/ #gotvintage #stpatricksday #vintage";;;#Clover #Pin #gotvintage #stpatricksday #vintage;"979845848640249856";https://twitter.com/pastsplendors/status/979845848640249856
vintiquetables;2018-03-30 22:20;1;1;"Thanks for the kind words! ★★★★★ "Absolutely beautiful, received many compliments" Gale https:// etsy.me/2GIK6aM #etsy #accessories #scarf #green #orange #stpatricksday #irishflagscarf #stpattysdayscarf #designerfashion #fashionscarfwomens pic.twitter.com/0OrmgIdvKC";;;#etsy #accessories #scarf #green #orange #stpatricksday #irishflagscarf #stpattysdayscarf #designerfashion #fashionscarfwomens;"979845824145448960";https://twitter.com/vintiquetables/status/979845824145448960
Jmoneyrulez;2018-03-30 21:46;0;0;"Newest episode of the most drama filled vortex of a #Podcast is here! #PodernFamily #podcastfriday #Podcastmafia #PodernMadness #WOKENWarriors #UltimateDELETION #StPatricksDay #ohhiMark #VenomMovie https:// twitter.com/notpodcast1/st atus/979771176724680707 …";;;#Podcast #PodernFamily #podcastfriday #Podcastmafia #PodernMadness #WOKENWarriors #UltimateDELETION #StPatricksDay #ohhiMark #VenomMovie;"979837219224670208";https://twitter.com/Jmoneyrulez/status/979837219224670208
jswagg314_;2018-03-30 21:31;0;0;"#callofduty #nazizombies #stpatricksday theam and #leprechaun challenge ;) #dorkandchill … https://www. instagram.com/p/Bg9maJ3gv_h/";;;#callofduty #nazizombies #stpatricksday #leprechaun #dorkandchill;"979833485623025664";https://twitter.com/jswagg314_/status/979833485623025664
eBayKali;2018-03-30 21:00;0;0;"St Patrick's Day Green Shamrock Clovers Fairy Lights 10 LED Battery Power #StPattysDay #StPatricksDay #Shamrocks #Clovers #Decorate #Party #Etsy OldFolksAttic https:// zurl.co/lO8nk via @Etsy";;@Etsy;#StPattysDay #StPatricksDay #Shamrocks #Clovers #Decorate #Party #Etsy;"979825628118646790";https://twitter.com/eBayKali/status/979825628118646790
1AngelAquarius;2018-03-30 20:39;0;0;"Kudos to @caitfairbanks for wearing dark green for today show to belated #StPatricksDay just the nick of time, right before March last day for tomorrow. #YR45";;@caitfairbanks;#StPatricksDay #YR45;"979820526305759232";https://twitter.com/1AngelAquarius/status/979820526305759232
BaileyBastards;2018-03-30 20:36;1;7;"So, tomorrow... - Bus Leaves @MurphysPubClift at 1:30 sharp, get there early! - Bus stops to pick up anyone else at Cleves exit on I-74 at 2:00 @BaileyBastards #StPatricksDay t-shirts will be on sale at both locations and at the tailgate in Indy ($15) - Arrive at @BaseysDowntown";;@MurphysPubClift @BaileyBastards @BaseysDowntown;#StPatricksDay;"979819590665588738";https://twitter.com/BaileyBastards/status/979819590665588738
