username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
recovery_llc;2018-07-24 00:18;0;0;"If you are ready to start changing your life today, contact us & let us help you on the road to # recovery. # health # wellness # drugaddiction # abetterlife # opiateaddiction # sober # sobriety # abetteryou # seekhelp # lifechanging # knoxville # maryville # oakridge # addictiontreatmentpic.twitter.com/Oe3LmgsuSK";;;# # # # # # # # # # # # # # #;"1021550045206929412";https://twitter.com/recovery_llc/status/1021550045206929412
abdssobercoach;2018-07-24 00:14;0;0;"Someone told me today, that if we find the void. I will recover. That is the truth! # sober # soberlife # soberlifestyle # recoveryisworthit # recoveryispossible # lifeisbeautiful… https://www.instagram.com/p/BlmAkZSn6n2/?utm_source=ig_twitter_share&igshid=k1c6wpavozgj …";;;# # # # # #;"1021549034908147712";https://twitter.com/abdssobercoach/status/1021549034908147712
sobaliving;2018-07-24 00:00;0;1;"We are not a religious organization, but we are highly spiritual https://goo.gl/7Gb7ND # sober # treatement # intervention # addiction # drug # alcohol # dependency # detox # relapse # Malibu # CA # recovery # pill # Meth # Herion # DUI # prevention # dependencypic.twitter.com/KgXYE6Sd7x";;;# # # # # # # # # # # # # # # # # #;"1021545545255608322";https://twitter.com/sobaliving/status/1021545545255608322
sobaliving;2018-07-23 23:30;0;0;"SRC’s chef skillfully prepares the healthiest and finest foods We also accommodate any special dietary needs. https://goo.gl/5uRkCH # sober # treatement # intervention # addiction # drug # alcohol # dependency # detox # relapse # Malibu # CA # recovery # pill # Meth # Herion # dependencypic.twitter.com/qLJRj7jetE";;;# # # # # # # # # # # # # # # #;"1021537966475436039";https://twitter.com/sobaliving/status/1021537966475436039
sobaliving;2018-07-23 23:26;0;1;"In this episode of the "Soba Life" Recovery Showhttps://goo.gl/V4UZFc SOBA Texas Text or Call (210) 727-2692 FB: Soba TexasTwitter: @ SobaLiving # sober # ad # recovery # wsj # nytimes # reuters # forbes # nasdaq # chicago # newyork # business # cnn # bet # foxnewspic.twitter.com/Y5Ua8r65oh";;@;# # # # # # # # # # # # # #;"1021536945070120961";https://twitter.com/sobaliving/status/1021536945070120961
popeyeandolive1;2018-07-23 23:22;0;1;"Happy to be # clean # sober # healthy # grateful";;;# # # #;"1021536149989294080";https://twitter.com/popeyeandolive1/status/1021536149989294080
kaylanechole;2018-07-23 23:20;2;2;"@ ddlovato performing # Sober at @ CaMidStateFair on Sunday, July 22nd. # MidStateFair PART 2 She's so cute when she forgot the words [ kaylanechole]pic.twitter.com/1SUITXgmK2";;@ @;# #;"1021535553752248320";https://twitter.com/kaylanechole/status/1021535553752248320
FundingExperts;2018-07-23 23:20;1;1;"Please # retweet Please # share # thankyou # love # share # life # money # crowdfunding # health # mentalhealth # fundingexperts @ DaringRuby Please # support Non # Profit # Sober # Living Facility # donate here # today: http://bit.ly/2LrZcUl";;@;# # # # # # # # # # # # # # # # #;"1021535447812648960";https://twitter.com/FundingExperts/status/1021535447812648960
FundingTweets;2018-07-23 23:20;1;1;"Please # retweet Please # share # thankyou # love # share # life # money # crowdfunding # health # mentalhealth # fundingtweets @ DaringRuby Please # support Non # Profit # Sober # Living Facility # donate here # today: http://bit.ly/2LrZcUl";;@;# # # # # # # # # # # # # # # # #;"1021535447649079296";https://twitter.com/FundingTweets/status/1021535447649079296
sobaliving;2018-07-23 23:20;0;0;"Soba is fighting Addiction. https://goo.gl/ns8CKk  Call us today 866-948-9014 # sober # treatement # intervention # addiction # dependency # detox # relapse # Malibu # recovery # dependency # recovery # wsj # nytimes # reuters # forbes # nasdaq # chicago # newyork # business # cnn # bet # foxnewspic.twitter.com/6utIzrix6R";;;# # # # # # # # # # # # # # # # # # # # # #;"1021535437385621510";https://twitter.com/sobaliving/status/1021535437385621510
sobaliving;2018-07-23 23:15;1;0;"SOBA provides a home atmosphere https://goo.gl/7Gb7ND # sober # treatement # intervention # addiction # drug # alcohol # dependency # detox # relapse # Malibu # CA # recovery # pill # Meth # Herion # DUI # prevention # dependency # wsj # reuters # nasdaq # marketwatch # entertainment # bitcoinpic.twitter.com/eMcXfKz7lo";;;# # # # # # # # # # # # # # # # # # # # # # # #;"1021534225554726926";https://twitter.com/sobaliving/status/1021534225554726926
